,Human,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,Head & Neck_x_PCM,Head & Neck_y_PCM,Trunk_x_PCM,Trunk_y_PCM,R Upper Arm_x_PCM,R Upper Arm_y_PCM,L Upper Arm_x_PCM,L Upper Arm_y_PCM,R Forearm_x_PCM,R Forearm_y_PCM,L Forearm_x_PCM,L Forearm_y_PCM,R Hand_x_PCM,R Hand_y_PCM,L Hand_x_PCM,L Hand_y_PCM,R Thigh_x_PCM,R Thigh_y_PCM,L Thigh_x_PCM,L Thigh_y_PCM,R Shank_x_PCM,R Shank_y_PCM,L Shank_x_PCM,L Shank_y_PCM,R Foot_x_PCM,R Foot_y_PCM,L Foot_x_PCM,L Foot_y_PCM,TCM_x,TCM_y,Head & Neck_L,Trunk_L,R Upper Arm_L,L Upper Arm_L,R Forearm_L,L Forearm_L,R Hand_L,L Hand_L,R Thigh_L,L Thigh_L,R Shank_L,L Shank_L,R Foot_L,L Foot_L,Head & Neck_R,Trunk_R,R Upper Arm_R,L Upper Arm_R,R Forearm_R,L Forearm_R,R Hand_R,L Hand_R,R Thigh_R,L Thigh_R,R Shank_R,L Shank_R,R Foot_R,L Foot_R,D1,D2,D3
0,3015_F246,0.4109375,0.25833333333333336,0.403125,0.3,0.38125,0.2972222222222222,0.353125,0.31666666666666665,0.353125,0.30277777777777776,0.425,0.3055555555555556,0.465625,0.3138888888888889,0.4484375,0.2833333333333333,0.384375,0.4444444444444444,0.39375,0.5777777777777777,0.3953125,0.6861111111111111,0.4171875,0.4361111111111111,0.4171875,0.5611111111111111,0.4140625,0.7055555555555556,0.40625,0.25,0.415625,0.25,0.39375,0.25555555555555554,nan,nan,0.403125,0.3,0.59341328125,0.5415875,0.36501625,0.30844555555555553,0.44844875,0.31036555555555556,0.353125,0.3103138888888889,0.4577634375,0.29991277777777775,0.353125,0.30277777777777776,0.4484375,0.2833333333333333,0.3882140625,0.4990444444444444,0.4171875,0.4872986111111111,0.39443671875,0.6253902777777778,0.41581406249999997,0.6245944444444445,0.3953125,0.6861111111111111,0.4140625,0.7055555555555556,0.48616227004687496,0.4992810068611111,0.21588911022192817,0.1152936197966033,0.22604098665550215,0.1926430827626774,0.2311005990824188,0.2013806953455319,0.23730241099007426,0.21921805577358197,0.09794849321670379,0.07000783321121214,0.15593949137998644,0.1437091783568822,0.20774784853671993,0.21851216506160248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666030982128017,92.2101780855961,0.1485395652987834
0,3015_F247,0.4140625,0.25555555555555554,0.4046875,0.3,0.38125,0.2972222222222222,0.3546875,0.3138888888888889,0.353125,0.3,0.428125,0.2972222222222222,0.46875,0.3111111111111111,0.45,0.28055555555555556,0.3859375,0.4388888888888889,0.39375,0.5777777777777777,0.39375,0.6777777777777778,0.41875,0.43333333333333335,0.4171875,0.5527777777777778,0.4140625,0.7083333333333334,0.4078125,0.24722222222222223,0.4171875,0.24722222222222223,0.3953125,0.25555555555555554,nan,nan,0.4046875,0.3,0.5953124999999999,0.536223611111111,0.365918125,0.30684222222222224,0.45157375,0.3052388888888889,0.3539728125,0.3075361111111111,0.46017375,0.297135,0.353125,0.3,0.45,0.28055555555555556,0.38913671875,0.4957638888888889,0.41811015625,0.4822458333333334,0.39375,0.6217277777777778,0.41581406249999997,0.6211444444444445,0.39375,0.6777777777777778,0.4140625,0.7083333333333334,0.4874777042812499,0.49507950649999993,0.21192034300938317,0.11541741858122886,0.22407589452528662,0.1932059885924817,0.23020877759876213,0.1998187518050323,0.23686845084132355,0.2177730558333771,0.09834336690652669,0.0705447367761521,0.15755845635027985,0.14501050352401365,0.20533762655130197,0.2255371075426814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16204761803097,91.61707972361314,0.1607517307620841
0,3015_F248,0.415625,0.25277777777777777,0.40625,0.3,0.384375,0.2972222222222222,0.3546875,0.3111111111111111,0.3546875,0.2916666666666667,0.428125,0.3,0.4671875,0.30833333333333335,0.4515625,0.2777777777777778,0.3875,0.43333333333333335,0.3953125,0.5888888888888889,0.39375,0.6861111111111111,0.421875,0.4305555555555556,0.4203125,0.5805555555555556,0.4140625,0.7111111111111111,0.409375,0.24444444444444444,0.4203125,0.24444444444444444,0.3953125,0.25277777777777777,nan,nan,0.40625,0.3,0.5984375,0.5340208333333333,0.367239375,0.3052388888888889,0.450671875,0.30481,0.3546875,0.30221722222222225,0.460040625,0.2943572222222222,0.3546875,0.2916666666666667,0.4515625,0.2777777777777778,0.39069921875,0.4970333333333333,0.42123515624999996,0.4919805555555556,0.39462578125,0.6316180555555556,0.417565625,0.6379347222222223,0.39375,0.6861111111111111,0.4140625,0.7111111111111111,0.489761629640625,0.4967338425555554,0.21372505022085497,0.11489457985314089,0.2273367989614108,0.19586416277398444,0.23681582735128673,0.2045473895565283,0.24555562939019906,0.2222632039008518,0.09906286360785753,0.06869112965048985,0.16505932438257892,0.15858736237389684,0.21232518190693161,0.22734988784182192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.435647323972441,92.11053471832797,0.15895986427878506
0,3015_F249,0.415625,0.25,0.4078125,0.29444444444444445,0.3859375,0.29444444444444445,0.3578125,0.3055555555555556,0.3546875,0.28888888888888886,0.4328125,0.28888888888888886,0.4734375,0.3055555555555556,0.4515625,0.26666666666666666,0.390625,0.43333333333333335,0.3953125,0.5916666666666667,0.39375,0.6861111111111111,0.4234375,0.4305555555555556,0.4203125,0.5722222222222222,0.4140625,0.7111111111111111,0.4109375,0.24166666666666667,0.4203125,0.24166666666666667,0.396875,0.24722222222222223,nan,nan,0.4078125,0.29444444444444445,0.60234375,0.5292791666666666,0.36970375,0.3008577777777778,0.45626125,0.2985088888888889,0.35638312499999997,0.2979322222222222,0.463431875,0.2877677777777778,0.3546875,0.28888888888888886,0.4515625,0.26666666666666666,0.39254453125,0.49817083333333334,0.4221578125,0.48856805555555555,0.39462578125,0.633175,0.417565625,0.6332638888888888,0.39375,0.6861111111111111,0.4140625,0.7111111111111111,0.49226033176562495,0.49328021083333323,0.21602568894780094,0.11582004917653341,0.22813703881021608,0.1980701939716184,0.23795682796010534,0.2075245529085695,0.24637795462705356,0.2302390321170606,0.09983566026680755,0.07026071174382739,0.17059618251993297,0.15866546360428957,0.21653646705927346,0.23144157363937926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.313513931696069,92.29276474723089,0.1620389626755327
0,3015_F250,0.415625,0.24722222222222223,0.4078125,0.28888888888888886,0.3859375,0.2861111111111111,0.3578125,0.3,0.3546875,0.2861111111111111,0.4296875,0.28888888888888886,0.46875,0.3,0.4515625,0.26666666666666666,0.3890625,0.43333333333333335,0.396875,0.5861111111111111,0.3984375,0.6944444444444444,0.425,0.42777777777777776,0.421875,0.5861111111111111,0.4140625,0.7111111111111111,0.4109375,0.2361111111111111,0.421875,0.2388888888888889,0.3984375,0.24166666666666667,0.4265625,0.24166666666666667,0.4078125,0.28888888888888886,0.60111796875,0.5239388888888888,0.36970375,0.29412777777777777,0.452234375,0.2953022222222222,0.35638312499999997,0.2936472222222222,0.46088843749999997,0.2847533333333333,0.3546875,0.2861111111111111,0.4515625,0.26666666666666666,0.39226171875,0.49589583333333337,0.4237203125,0.4926152777777778,0.39756171875,0.6337236111111111,0.41844140625,0.6410486111111111,0.3984375,0.6944444444444444,0.4140625,0.7111111111111111,0.49198774515625,0.4908952381111112,0.21884249364144345,0.11402319307204828,0.23166961155361684,0.19959197955652178,0.23936456040906356,0.2084745832040648,0.24655201477805552,0.22784348289551598,0.0998513209494826,0.06828909794345316,0.1712197961589165,0.16719778524188078,0.2240176952111693,0.23359660646895916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.196531019737861,92.11326160027917,0.16169440909199942
0,3015_F251,0.4171875,0.24166666666666667,0.4078125,0.2861111111111111,0.3859375,0.2833333333333333,0.3578125,0.2972222222222222,0.3546875,0.2833333333333333,0.43125,0.2861111111111111,0.4734375,0.2972222222222222,0.4546875,0.2638888888888889,0.390625,0.42777777777777776,0.396875,0.5833333333333334,0.396875,0.6833333333333333,0.425,0.41944444444444445,0.421875,0.575,0.415625,0.7111111111111111,0.4125,0.23333333333333334,0.421875,0.23333333333333334,0.4,0.2361111111111111,0.4265625,0.24166666666666667,0.4078125,0.2861111111111111,0.6022359375,0.5173777777777777,0.36970375,0.29135,0.45560062500000004,0.2925244444444444,0.35638312499999997,0.29086944444444446,0.46486125,0.28197555555555553,0.3546875,0.2833333333333333,0.4546875,0.2638888888888889,0.393184375,0.4914777777777778,0.4237203125,0.48314444444444443,0.396875,0.6272833333333334,0.419128125,0.6348208333333333,0.396875,0.6833333333333333,0.415625,0.7111111111111111,0.4927789099375001,0.48490914130555546,0.21619423587796816,0.1141711576414253,0.22937444534338436,0.19594411564840505,0.23718181655993076,0.20484490709250858,0.24434001689895352,0.22427863805845102,0.09981091310333327,0.06908114095066986,0.171662373561776,0.1670268048204874,0.22038538954108688,0.23899802711017804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962069101699269,92.06218958570145,0.172994832814235
0,3015_F252,0.4171875,0.24166666666666667,0.4078125,0.2861111111111111,0.3859375,0.2833333333333333,0.3578125,0.2972222222222222,0.3546875,0.2833333333333333,0.43125,0.2861111111111111,0.4734375,0.2972222222222222,0.4546875,0.2638888888888889,0.390625,0.42777777777777776,0.396875,0.5833333333333334,0.396875,0.6833333333333333,0.425,0.41944444444444445,0.421875,0.575,0.415625,0.7111111111111111,0.4125,0.23333333333333334,0.421875,0.23333333333333334,0.4,0.2361111111111111,0.4265625,0.24166666666666667,0.4078125,0.2861111111111111,0.6022359375,0.5173777777777777,0.36970375,0.29135,0.45560062500000004,0.2925244444444444,0.35638312499999997,0.29086944444444446,0.46486125,0.28197555555555553,0.3546875,0.2833333333333333,0.4546875,0.2638888888888889,0.393184375,0.4914777777777778,0.4237203125,0.48314444444444443,0.396875,0.6272833333333334,0.419128125,0.6348208333333333,0.396875,0.6833333333333333,0.415625,0.7111111111111111,0.4927789099375001,0.48490914130555546,0.21619423587796816,0.1141711576414253,0.22937444534338436,0.19594411564840505,0.23718181655993076,0.20484490709250858,0.24434001689895352,0.22427863805845102,0.09981091310333327,0.06908114095066986,0.171662373561776,0.1670268048204874,0.22038538954108688,0.23899802711017804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962069101699269,92.06218958570145,0.172994832814235
0,3015_F253,0.41875,0.24166666666666667,0.409375,0.2777777777777778,0.3859375,0.28055555555555556,0.3578125,0.29444444444444445,0.3546875,0.28055555555555556,0.434375,0.28055555555555556,0.4734375,0.2972222222222222,0.4578125,0.26666666666666666,0.3921875,0.42777777777777776,0.3953125,0.5805555555555556,0.4,0.7027777777777777,0.428125,0.4166666666666667,0.421875,0.5833333333333334,0.4125,0.7138888888888889,0.4125,0.23055555555555557,0.4234375,0.23055555555555557,0.4,0.2361111111111111,nan,nan,0.409375,0.2777777777777778,0.604471875,0.5136180555555555,0.36970375,0.28857222222222223,0.45692187500000003,0.2901755555555556,0.35638312499999997,0.2880916666666667,0.466290625,0.2832461111111111,0.3546875,0.28055555555555556,0.4578125,0.26666666666666666,0.39346718750000004,0.4903402777777778,0.425565625,0.4849166666666667,0.39737265625,0.6342722222222222,0.4177546875,0.6407125,0.4,0.7027777777777777,0.4125,0.7138888888888889,0.494200531296875,0.48348553219444446,0.2225107884731542,0.11431420824289788,0.2312804508764403,0.19687164672300658,0.23910750754479718,0.20217514344075246,0.24626096182769777,0.21985110704841798,0.1009663017521769,0.0686498252602175,0.17919894886864257,0.17482644662391736,0.238668869083495,0.24445998361748095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72232771036495,91.1790133693795,0.1618103326076446
0,3015_F254,0.41875,0.2388888888888889,0.4109375,0.275,0.3875,0.2777777777777778,0.3578125,0.29444444444444445,0.3546875,0.28055555555555556,0.4359375,0.2777777777777778,0.4734375,0.2916666666666667,0.4515625,0.24722222222222223,0.39375,0.425,0.396875,0.5694444444444444,0.403125,0.7111111111111111,0.4296875,0.425,0.4234375,0.575,0.4125,0.7138888888888889,0.4125,0.22777777777777777,0.4234375,0.23055555555555557,0.4,0.23333333333333334,0.4296875,0.2361111111111111,0.4109375,0.275,0.606815625,0.5118458333333333,0.37036437499999997,0.2873977777777778,0.4575825,0.28579444444444446,0.35638312499999997,0.2880916666666667,0.463431875,0.2713377777777778,0.3546875,0.28055555555555556,0.4515625,0.24722222222222223,0.3950296875,0.48414999999999997,0.427128125,0.486425,0.399621875,0.6317069444444444,0.41863046875,0.6360416666666666,0.403125,0.7111111111111111,0.4125,0.7138888888888889,0.495899556671875,0.48119834469444445,0.22301638600928814,0.11507233713295348,0.23090634806044646,0.19912528986773032,0.23823312910965344,0.21235726476796346,0.24535356892234822,0.23813987587437216,0.10091304561747205,0.06896975960435459,0.17866793385164723,0.1730519179543287,0.2479253890327243,0.24718490125930428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2567028354298935,93.02884148304202,0.11035664766269788
0,3015_F255,0.41875,0.2388888888888889,0.4125,0.275,0.3890625,0.2777777777777778,0.3578125,0.2972222222222222,0.35625,0.28055555555555556,0.4375,0.275,0.475,0.28888888888888886,0.4515625,0.24722222222222223,0.3953125,0.42777777777777776,0.4,0.5833333333333334,0.403125,0.725,0.4296875,0.4222222222222222,0.4234375,0.5972222222222222,0.4140625,0.7166666666666667,0.4125,0.23055555555555557,0.4234375,0.23055555555555557,0.4015625,0.23333333333333334,0.4296875,0.2361111111111111,0.4125,0.275,0.60882265625,0.5116541666666666,0.371025,0.2890011111111111,0.45914499999999997,0.28301666666666664,0.3570978125,0.2895988888888889,0.4642796875,0.2698305555555556,0.35625,0.28055555555555556,0.4515625,0.24722222222222223,0.39723203125,0.4914777777777778,0.427128125,0.49388472222222224,0.40137343750000004,0.6455958333333334,0.4193171875,0.6497180555555555,0.403125,0.725,0.4140625,0.7166666666666667,0.49741417609374994,0.48459903877777777,0.2261463560578608,0.1146465411419363,0.2328793102470709,0.2051828028486718,0.24023684219715874,0.21730944691831341,0.2481150290846657,0.2417646153568715,0.10041802226554859,0.07089677633985662,0.18746677392753303,0.18265658851810507,0.2582306544254701,0.24658241182536358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6591670786454304,92.78872897215065,0.16386472690910853
