,Human,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,Head & Neck_x_PCM,Head & Neck_y_PCM,Trunk_x_PCM,Trunk_y_PCM,R Upper Arm_x_PCM,R Upper Arm_y_PCM,L Upper Arm_x_PCM,L Upper Arm_y_PCM,R Forearm_x_PCM,R Forearm_y_PCM,L Forearm_x_PCM,L Forearm_y_PCM,R Hand_x_PCM,R Hand_y_PCM,L Hand_x_PCM,L Hand_y_PCM,R Thigh_x_PCM,R Thigh_y_PCM,L Thigh_x_PCM,L Thigh_y_PCM,R Shank_x_PCM,R Shank_y_PCM,L Shank_x_PCM,L Shank_y_PCM,R Foot_x_PCM,R Foot_y_PCM,L Foot_x_PCM,L Foot_y_PCM,TCM_x,TCM_y,Head & Neck_L,Trunk_L,R Upper Arm_L,L Upper Arm_L,R Forearm_L,L Forearm_L,R Hand_L,L Hand_L,R Thigh_L,L Thigh_L,R Shank_L,L Shank_L,R Foot_L,L Foot_L,Head & Neck_R,Trunk_R,R Upper Arm_R,L Upper Arm_R,R Forearm_R,L Forearm_R,R Hand_R,L Hand_R,R Thigh_R,L Thigh_R,R Shank_R,L Shank_R,R Foot_R,L Foot_R,D1,D2,D3
0,1004_F308_Person1,0.553125,0.4083333333333333,0.5421875,0.45,0.51875,0.44722222222222224,0.5046875,0.5194444444444445,0.5,0.5833333333333334,0.565625,0.4527777777777778,0.5671875,0.525,0.5734375,0.5777777777777777,0.51875,0.5861111111111111,0.5109375,0.6888888888888889,0.5015625,0.7527777777777778,0.546875,0.5916666666666667,0.5390625,0.6944444444444444,0.53125,0.7944444444444444,0.5484375,0.3972222222222222,0.5578125,0.3972222222222222,0.5375,0.39444444444444443,nan,nan,0.5421875,0.45,0.797521875,0.7634027777777778,0.510633125,0.48890888888888895,0.566526875,0.4944644444444445,0.5025434375,0.5486672222222223,0.57004625,0.5491405555555555,0.5,0.5833333333333334,0.5734375,0.5777777777777777,0.5155507812500001,0.6281986111111111,0.54367578125,0.6337541666666666,0.5068171875,0.7169680555555555,0.53562890625,0.7383944444444444,0.5015625,0.7527777777777778,0.53125,0.7944444444444444,0.6466197054218751,0.6774281823611112,0.25025919296072935,0.1736752597247077,0.2324475727257675,0.19972628990051852,0.19322876554536203,0.14940284223082045,0.1742158966098035,0.12363591033365498,0.14000933386396622,0.11182518129108199,0.14528642603329786,0.12663270751754918,0.1634599473089949,0.16432581818170128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95645332304859,71.7361614060612,0.10416775025361259
0,1004_F309_Person1,0.553125,0.4083333333333333,0.5421875,0.45,0.51875,0.44722222222222224,0.5046875,0.5194444444444445,0.5,0.5833333333333334,0.565625,0.4527777777777778,0.5671875,0.525,0.5734375,0.5777777777777777,0.51875,0.5861111111111111,0.5109375,0.6888888888888889,0.5015625,0.7527777777777778,0.546875,0.5916666666666667,0.5390625,0.6944444444444444,0.53125,0.7944444444444444,0.5484375,0.3972222222222222,0.5578125,0.3972222222222222,0.5375,0.39444444444444443,nan,nan,0.5421875,0.45,0.797521875,0.7634027777777778,0.510633125,0.48890888888888895,0.566526875,0.4944644444444445,0.5025434375,0.5486672222222223,0.57004625,0.5491405555555555,0.5,0.5833333333333334,0.5734375,0.5777777777777777,0.5155507812500001,0.6281986111111111,0.54367578125,0.6337541666666666,0.5068171875,0.7169680555555555,0.53562890625,0.7383944444444444,0.5015625,0.7527777777777778,0.53125,0.7944444444444444,0.6466197054218751,0.6774281823611112,0.25025919296072935,0.1736752597247077,0.2324475727257675,0.19972628990051852,0.19322876554536203,0.14940284223082045,0.1742158966098035,0.12363591033365498,0.14000933386396622,0.11182518129108199,0.14528642603329786,0.12663270751754918,0.1634599473089949,0.16432581818170128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95645332304859,71.7361614060612,0.10416775025361259
0,1004_F310_Person1,0.5546875,0.4,0.5453125,0.44722222222222224,0.5203125,0.44166666666666665,0.5078125,0.5138888888888888,0.5,0.5916666666666667,0.56875,0.45,0.571875,0.5222222222222223,0.5765625,0.575,0.521875,0.5805555555555556,0.5171875,0.6833333333333333,0.5109375,0.7666666666666667,0.55,0.5861111111111111,0.5421875,0.6888888888888889,0.53125,0.7944444444444444,0.5515625,0.3888888888888889,0.559375,0.39166666666666666,0.540625,0.39166666666666666,0.5640625,0.3972222222222222,0.5453125,0.44722222222222224,0.8013203125,0.7558597222222222,0.5130975,0.4833533333333333,0.57055375,0.4916866666666667,0.5042390625,0.5494644444444444,0.5740190625,0.5463627777777778,0.5,0.5916666666666667,0.5765625,0.575,0.51995546875,0.6226430555555555,0.5468007812500001,0.6281986111111111,0.514440625,0.7199583333333334,0.53738046875,0.7352805555555555,0.5109375,0.7666666666666667,0.53125,0.7944444444444444,0.6503747641718749,0.6723447552777777,0.24843154840372125,0.1725088643050264,0.23358682502893385,0.1975063018843872,0.190932485694886,0.1473148052050942,0.17065029645942392,0.1221648546934391,0.13956880587586978,0.11258975079058008,0.14403174305565822,0.12933918878085743,0.1683430236386131,0.17058441761662005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63030427373534,72.45888031224926,0.11212085031088723
0,1004_F311_Person1,0.5578125,0.3972222222222222,0.546875,0.4444444444444444,0.5234375,0.44166666666666665,0.5078125,0.5166666666666667,0.5015625,0.5722222222222222,0.571875,0.44722222222222224,0.575,0.5138888888888888,0.5828125,0.5694444444444444,0.525,0.5777777777777777,0.5234375,0.6777777777777778,0.51875,0.7777777777777778,0.553125,0.5805555555555556,0.540625,0.6861111111111111,0.5328125,0.7916666666666666,0.553125,0.3861111111111111,0.5625,0.3888888888888889,0.5421875,0.3888888888888889,nan,nan,0.546875,0.4444444444444444,0.8060078125,0.752675,0.51441875,0.4849566666666667,0.57367875,0.4857022222222222,0.50495375,0.5420777777777778,0.5785734375,0.5393,0.5015625,0.5722222222222222,0.5828125,0.5694444444444444,0.52436015625,0.6187277777777778,0.54800625,0.6237805555555556,0.52137734375,0.7217277777777777,0.5371914062500001,0.7325027777777777,0.51875,0.7777777777777778,0.5328125,0.7916666666666666,0.65398890675,0.6691530939444443,0.24893245304572384,0.17345217351356668,0.23110203910203211,0.2002596904343277,0.19585610515466537,0.1501643067081601,0.18063610759631177,0.12250671680750931,0.13909106896813878,0.11528655937115782,0.14265315987204047,0.13287151148696544,0.17346147652094637,0.17231743107998299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.542752996127063,72.7629939951609,0.12282000005183223
0,1004_F312_Person1,0.559375,0.39444444444444443,0.55,0.4444444444444444,0.525,0.44166666666666665,0.5078125,0.5166666666666667,0.5,0.5805555555555556,0.575,0.4444444444444444,0.58125,0.5111111111111111,0.5890625,0.5722222222222222,0.528125,0.5777777777777777,0.5296875,0.6777777777777778,0.5265625,0.7916666666666666,0.55625,0.5805555555555556,0.54375,0.6805555555555556,0.5328125,0.7944444444444444,0.5546875,0.3861111111111111,0.5640625,0.3861111111111111,0.54375,0.3861111111111111,0.56875,0.39166666666666666,0.55,0.4444444444444444,0.80980625,0.7518847222222222,0.515079375,0.4849566666666667,0.5786075,0.4829244444444444,0.5042390625,0.5458894444444445,0.5848234375000001,0.5390633333333333,0.5,0.5805555555555556,0.5890625,0.5722222222222222,0.52876484375,0.6187277777777778,0.55113125,0.6215055555555556,0.5283140625,0.7278319444444444,0.53894296875,0.7306097222222222,0.5265625,0.7916666666666666,0.5328125,0.7944444444444444,0.6576757581406248,0.6689485886666666,0.248990320422523,0.17326883390419742,0.23278048854240754,0.20213058076155282,0.1966885165580833,0.14892159069701608,0.1807622001630949,0.11859076337648292,0.13834794431202999,0.11663007161838516,0.1421326770544691,0.13378927710334088,0.17958400020119888,0.17703119231053355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0390740734307515,72.20697999770691,0.12976589666711139
