Human,V_title,Frame,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,Head & Neck_x_PCM,Head & Neck_y_PCM,Trunk_x_PCM,Trunk_y_PCM,R Upper Arm_x_PCM,R Upper Arm_y_PCM,L Upper Arm_x_PCM,L Upper Arm_y_PCM,R Forearm_x_PCM,R Forearm_y_PCM,L Forearm_x_PCM,L Forearm_y_PCM,R Hand_x_PCM,R Hand_y_PCM,L Hand_x_PCM,L Hand_y_PCM,R Thigh_x_PCM,R Thigh_y_PCM,L Thigh_x_PCM,L Thigh_y_PCM,R Shank_x_PCM,R Shank_y_PCM,L Shank_x_PCM,L Shank_y_PCM,R Foot_x_PCM,R Foot_y_PCM,L Foot_x_PCM,L Foot_y_PCM,TCM_x,TCM_y,Head & Neck_L,Trunk_L,R Upper Arm_L,L Upper Arm_L,R Forearm_L,L Forearm_L,R Hand_L,L Hand_L,R Thigh_L,L Thigh_L,R Shank_L,L Shank_L,R Foot_L,L Foot_L,Head & Neck_R,Trunk_R,R Upper Arm_R,L Upper Arm_R,R Forearm_R,L Forearm_R,R Hand_R,L Hand_R,R Thigh_R,L Thigh_R,R Shank_R,L Shank_R,R Foot_R,L Foot_R,D1,D2,D3
P1,2001,133,nan,nan,0.665625,0.25555555555555554,0.63125,0.24444444444444444,0.603125,0.3638888888888889,nan,nan,0.6953125,0.25555555555555554,0.69375,0.37222222222222223,nan,nan,0.621875,0.4638888888888889,0.628125,0.55,nan,nan,0.6609375,0.4527777777777778,0.671875,0.5888888888888889,nan,nan,nan,nan,nan,nan,nan,nan,0.665625,0.25555555555555554,0.9674578125,0.5093041666666667,0.61501625,0.31338777777777777,0.694410625,0.32289555555555555,nan,nan,nan,nan,nan,nan,nan,nan,0.624434375,0.49915138888888894,0.66541640625,0.5085152777777778,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,135,nan,nan,0.6703125,0.2638888888888889,0.6421875,0.24722222222222223,0.6125,0.35833333333333334,0.609375,0.375,0.7,0.26666666666666666,0.703125,0.375,nan,nan,0.628125,0.46111111111111114,0.63125,0.6444444444444445,0.6234375,0.8083333333333333,0.6765625,0.46111111111111114,0.68125,0.5638888888888889,nan,nan,nan,nan,nan,nan,nan,nan,0.6703125,0.2638888888888889,0.9810757812500001,0.5146444444444445,0.625051875,0.31135555555555555,0.70180375,0.32919666666666664,0.611070625,0.36595666666666665,nan,nan,0.609375,0.375,nan,nan,0.6294046875,0.5361861111111111,0.67848203125,0.5031986111111111,0.62781640625,0.7164736111111112,nan,nan,0.6234375,0.8083333333333333,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,137,nan,nan,0.671875,0.2638888888888889,0.6421875,0.24444444444444444,0.615625,0.3527777777777778,nan,nan,0.703125,0.26666666666666666,0.70625,0.375,0.7125,0.375,0.634375,0.4861111111111111,0.628125,0.6555555555555556,0.6234375,0.8055555555555556,0.6828125,0.4666666666666667,0.678125,0.6027777777777777,0.6734375,0.7694444444444445,nan,nan,nan,nan,nan,nan,0.671875,0.2638888888888889,0.9860054687500001,0.525036111111111,0.626855625,0.30697444444444444,0.70492875,0.32919666666666664,nan,nan,0.7091087500000001,0.375,nan,nan,0.7125,0.375,0.631815625,0.5554986111111111,0.68089296875,0.5224041666666667,0.62606484375,0.7214805555555556,0.67606484375,0.6760277777777778,0.6234375,0.8055555555555556,0.6734375,0.7694444444444445,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,139,nan,nan,0.68125,0.26944444444444443,0.7109375,0.275,0.7125,0.375,nan,nan,nan,nan,nan,nan,nan,nan,0.6421875,0.43333333333333335,0.6375,0.5138888888888888,nan,nan,0.684375,0.4666666666666667,0.6859375,0.6055555555555555,0.6796875,0.7611111111111111,nan,nan,nan,nan,nan,nan,0.68125,0.26944444444444443,nan,nan,0.711839375,0.33272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64026796875,0.4663208333333333,0.68501484375,0.5235416666666667,nan,nan,0.6831906249999999,0.6739222222222222,nan,nan,0.6796875,0.7611111111111111,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,141,nan,nan,0.6890625,0.2833333333333333,0.7171875,0.2861111111111111,0.715625,0.37777777777777777,nan,nan,0.65625,0.2777777777777778,nan,nan,nan,nan,0.6453125,0.48055555555555557,0.6453125,0.6138888888888889,nan,nan,0.6875,0.475,0.6859375,0.6222222222222222,0.6796875,0.7611111111111111,nan,nan,nan,nan,nan,nan,0.6890625,0.2833333333333333,1.02106875,0.5513069444444445,0.7162856249999999,0.3390211111111111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6453125,0.5351555555555556,0.68686015625,0.5352875,nan,nan,0.6831906249999999,0.6832638888888889,nan,nan,0.6796875,0.7611111111111111,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,143,nan,nan,0.6921875,0.29444444444444445,nan,nan,nan,nan,nan,nan,0.71875,0.2916666666666667,0.7234375,0.39166666666666666,nan,nan,0.653125,0.4638888888888889,0.6453125,0.625,0.6265625,0.8055555555555556,0.69375,0.4666666666666667,0.6890625,0.6027777777777777,nan,nan,nan,nan,nan,nan,nan,nan,0.6921875,0.29444444444444445,nan,nan,nan,nan,0.7214556249999999,0.3493866666666667,nan,nan,nan,nan,nan,nan,nan,nan,0.64992578125,0.5298638888888889,0.69183046875,0.5224041666666667,0.637071875,0.7043541666666667,nan,nan,0.6265625,0.8055555555555556,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,145,nan,nan,0.7,0.30277777777777776,0.675,0.29444444444444445,0.6484375,0.38055555555555554,0.646875,0.3972222222222222,0.7265625,0.30277777777777776,0.73125,0.39444444444444443,nan,nan,0.6625,0.48333333333333334,0.665625,0.6055555555555555,nan,nan,0.7015625,0.5055555555555555,0.684375,0.6722222222222223,0.6796875,0.7666666666666667,nan,nan,nan,nan,nan,nan,0.7,0.30277777777777776,1.02750625,0.5709430555555556,0.659668125,0.3441477777777778,0.7292681249999999,0.35568777777777777,0.6477228125,0.38817888888888885,nan,nan,0.646875,0.3972222222222222,nan,nan,0.6637796875,0.5333833333333333,0.6945242187499999,0.5738055555555556,nan,nan,0.68231484375,0.7137305555555556,nan,nan,0.6796875,0.7666666666666667,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,147,nan,nan,0.7046875,0.3,0.734375,0.28888888888888886,0.740625,0.38055555555555554,nan,nan,nan,nan,nan,nan,nan,nan,0.6671875,0.4861111111111111,0.66875,0.5972222222222222,0.6546875,0.7638888888888888,0.7015625,0.5027777777777778,0.6890625,0.6805555555555556,0.6796875,0.7666666666666667,nan,nan,nan,nan,0.73125,0.25833333333333336,0.7046875,0.3,nan,nan,0.7379825,0.3417988888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.66782734375,0.5316111111111111,0.69644375,0.5755777777777777,0.66256953125,0.6704722222222221,0.6849421875,0.7184013888888889,0.6546875,0.7638888888888888,0.6796875,0.7666666666666667,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,149,nan,nan,0.7078125,0.2916666666666667,nan,nan,nan,nan,nan,nan,0.73125,0.29444444444444445,0.74375,0.38055555555555554,nan,nan,0.6671875,0.4777777777777778,0.6625,0.6694444444444444,0.659375,0.7083333333333334,0.7046875,0.4888888888888889,0.6828125,0.7027777777777777,0.678125,0.7694444444444445,nan,nan,nan,nan,nan,nan,0.7078125,0.2916666666666667,nan,nan,nan,nan,0.738465,0.3441477777777778,nan,nan,nan,nan,nan,nan,nan,nan,0.66526796875,0.5562652777777778,0.6957296875000001,0.5764763888888889,0.6611265625,0.6865361111111111,0.68075234375,0.7320777777777777,0.659375,0.7083333333333334,0.678125,0.7694444444444445,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,151,nan,nan,0.715625,0.2972222222222222,0.740625,0.2972222222222222,0.75,0.3861111111111111,nan,nan,nan,nan,nan,nan,nan,nan,0.6765625,0.48055555555555557,nan,nan,nan,nan,0.70625,0.4888888888888889,0.684375,0.6694444444444444,0.678125,0.7583333333333333,nan,nan,nan,nan,nan,nan,0.715625,0.2972222222222222,nan,nan,0.74603625,0.3485288888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6972921875,0.5628263888888889,nan,nan,0.6816281249999999,0.7085111111111111,nan,nan,0.678125,0.7583333333333333,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
